ID,System,t,Y,target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,U1,U2,U3,U4,U5,U6,U7,U8
524212665769723352!,system_11,0.000000,0.965207,,0.042397,0.888999,0.019974,0.322095,0.426638,0.880912,0.065547,0.120793,0.335683,0.512126,0.853638,0.144833,0.000000,0.000000,-0.024058,0.001859,-0.483821,1.517243,-1.715648,-1.023523,-0.511270,0.750616
524212665769723352!,system_11,0.260221,0.989793,,-0.002134,0.836533,-0.010232,0.360225,0.248748,1.254357,0.007475,0.471359,0.368144,0.510991,0.934989,0.146751,0.000305,-0.006946,-0.024058,0.001859,-0.483821,1.517243,-1.715648,-1.023523,-0.511270,0.750616
524212665769723352!,system_11,0.588156,1.091923,,-0.020479,0.739736,0.005414,0.453803,0.037947,1.736203,0.000432,0.986753,0.300157,0.462378,0.601444,0.073278,0.103059,0.039178,-0.024058,0.001859,-0.483821,1.517243,-1.715648,-1.023523,-0.511270,0.750616
524212665769723352!,system_11,1.001427,1.237080,,0.000093,0.616720,0.018498,0.525280,-0.036313,2.614945,-0.008846,1.575864,0.187810,0.291097,0.870953,0.103996,0.084172,0.043503,,,,,,,,
524212665769723352!,system_11,1.522239,1.176319,,0.009482,0.675870,0.012491,0.539900,0.032999,2.717532,-0.015496,1.407497,0.214347,0.368754,0.662253,0.110050,0.104736,0.078288,,,,,,,,
524212665769723352!,system_11,2.178578,1.399740,,0.031794,0.670553,-0.006072,0.468895,0.002613,2.657080,0.016186,1.453052,0.183944,0.354947,0.471947,0.050085,0.243431,0.084972,,,,,,,,
524212665769723352!,system_11,3.005710,1.257422,,0.016142,0.645887,0.002334,0.453681,0.015790,2.556327,-0.011060,1.341801,0.201435,0.251373,0.435520,0.080049,0.172167,0.085769,,,,,,,,
524212665769723352!,system_11,4.048078,1.609039,,0.037415,0.633661,0.005133,0.540358,-0.007369,2.347756,0.012040,1.453705,0.130760,0.151870,0.298068,0.055628,0.212664,0.108757,,,,,,,,
524212665769723352!,system_11,5.361692,1.714965,,0.029051,0.610028,-0.011530,0.499766,-0.086181,2.813838,-0.016268,1.443148,0.047183,0.258064,0.358256,-0.003088,0.241385,0.101957,,,,,,,,
524212665769723352!,system_11,7.017135,1.826533,,0.048097,0.677409,-0.010891,0.491797,0.029736,2.406062,-0.003976,1.157801,-0.012633,0.072079,0.118003,-0.020363,0.256652,0.087269,,,,,,,,
524212665769723352!,system_11,9.103359,1.690639,,0.036433,0.653625,-0.007776,0.522164,-0.060506,2.443781,0.012618,1.215985,0.044557,0.139249,0.161526,0.030455,0.293924,0.088212,,,,,,,,
524212665769723352!,system_11,11.732462,1.769905,,0.042530,0.692901,-0.007854,0.496860,0.028674,2.749160,0.007489,1.527702,0.024344,-0.037814,-0.043069,0.039858,0.260011,0.067778,,,,,,,,
524212665769723352!,system_11,15.045711,1.825668,,0.035376,0.726241,-0.004155,0.464640,0.010372,2.312522,-0.004968,1.487277,0.001045,-0.030000,0.099918,-0.034447,0.289316,0.081390,,,,,,,,
524212665769723352!,system_11,19.221135,1.773538,,0.051939,0.687724,0.008468,0.546188,-0.022795,2.482144,-0.002883,1.268923,0.005321,0.114611,-0.062969,-0.018468,0.274910,0.050308,,,,,,,,
524212665769723352!,system_11,24.483092,1.650282,,0.026171,0.745289,0.002098,0.530115,-0.043274,2.753094,-0.008133,1.375679,-0.030963,-0.009856,0.041961,0.013815,0.230243,0.067465,,,,,,,,
524212665769723352!,system_11,31.114318,1.825663,,0.031539,0.703542,0.005997,0.505388,-0.022219,2.381303,0.014035,1.377203,0.032732,0.063599,0.108672,-0.005511,0.231550,0.054324,,,,,,,,
524212665769723352!,system_11,39.471125,1.579585,,0.030443,0.704579,0.010106,0.502218,0.062824,2.442033,-0.011099,1.465539,0.029739,-0.061494,0.053153,-0.018887,0.200612,0.004717,,,,,,,,
524212665769723352!,system_11,50.002546,1.481725,,0.047993,0.685202,0.000198,0.474996,-0.020024,2.578341,0.011499,1.513360,0.028718,-0.077356,-0.025405,0.014700,0.233783,0.004665,,,,,,,,
524212665769723352!,system_11,63.274460,1.431155,,0.051262,0.682980,-0.003606,0.559411,-0.041359,2.676806,-0.008671,1.414645,0.005958,0.073852,-0.141587,0.017210,0.250583,-0.004957,,,,,,,,
524212665769723352!,system_11,80.000000,1.159969,,0.060620,0.695031,-0.003835,0.517939,0.010897,2.502647,-0.000848,1.341813,0.000743,-0.085740,-0.012755,0.019462,0.235908,-0.003764,,,,,,,,
