ID,System,t,Y,target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,U1,U2,U3,U4,U5,U6,U7,U8
1265939166220584679!,system_12,0.000000,0.835201,,0.529595,0.481934,0.403692,0.059525,0.083325,0.004114,0.027584,0.162431,0.220143,0.828377,0.672231,0.591248,0.000000,0.000000,-0.199654,0.526676,1.968098,0.902342,1.211560,0.480786,-0.129881,0.517713
1265939166220584679!,system_12,0.260221,0.875280,,0.535956,0.545136,0.324240,0.106020,0.699413,0.257634,0.886760,0.455881,0.257908,0.809618,0.543139,0.521483,0.019609,-0.061134,-0.199654,0.526676,1.968098,0.902342,1.211560,0.480786,-0.129881,0.517713
1265939166220584679!,system_12,0.588156,0.811536,,0.497478,0.832539,0.210649,0.500021,1.037170,0.546794,1.199187,0.877568,0.235164,0.673550,0.594784,0.340962,-0.044965,0.041656,-0.199654,0.526676,1.968098,0.902342,1.211560,0.480786,-0.129881,0.517713
1265939166220584679!,system_12,1.001427,1.043480,,0.502621,0.997119,0.174509,0.702486,2.136584,0.995091,1.798025,0.896954,0.249733,0.768145,0.703410,0.740515,0.173127,0.239641,,,,,,,,
1265939166220584679!,system_12,1.522239,0.997047,,0.416954,0.871487,0.083496,0.633324,2.078515,0.734144,1.528350,0.755341,0.354340,0.667358,0.868662,0.962338,0.190265,0.236538,,,,,,,,
1265939166220584679!,system_12,2.178578,0.933135,,0.266574,0.814785,0.010836,0.658591,1.630765,0.608067,1.623651,0.693346,0.346046,0.577632,0.777566,0.801752,0.152002,0.432208,,,,,,,,
1265939166220584679!,system_12,3.005710,0.818174,,0.171322,0.768081,0.135107,0.560177,1.460405,0.656507,1.429689,0.479986,0.338452,0.475146,0.872849,0.805998,0.213714,0.501174,,,,,,,,
1265939166220584679!,system_12,4.048078,0.933104,,0.250353,0.794261,0.055451,0.621900,1.399285,0.515925,1.234131,0.404006,0.341544,0.287486,0.588451,0.736989,0.170183,0.958935,,,,,,,,
1265939166220584679!,system_12,5.361692,0.919467,,0.057860,0.628890,0.120008,0.602764,1.389551,0.346992,0.930483,0.084049,0.271379,0.204846,0.613593,0.431630,0.336275,0.923729,,,,,,,,
1265939166220584679!,system_12,7.017135,0.844480,,0.171753,0.586398,0.010949,0.531056,1.131257,0.165517,1.176698,-0.158979,0.231854,0.225174,0.544949,0.430523,0.509472,1.158828,,,,,,,,
1265939166220584679!,system_12,9.103359,0.946653,,0.077905,0.645645,-0.049264,0.522079,1.444967,0.066195,1.323138,0.096539,0.242313,0.273004,0.435859,0.227341,0.558441,0.995702,,,,,,,,
1265939166220584679!,system_12,11.732462,0.862505,,0.114194,0.548882,-0.063676,0.523380,1.235219,0.067873,0.842906,-0.128045,0.151501,0.020721,0.368011,0.039530,0.463734,1.310639,,,,,,,,
1265939166220584679!,system_12,15.045711,1.132631,,0.084475,0.602700,0.115675,0.557844,1.001654,0.210616,1.035596,0.024157,0.147418,0.242581,0.496543,0.107932,0.521836,0.941469,,,,,,,,
1265939166220584679!,system_12,19.221135,1.050201,,0.135614,0.618568,0.050120,0.548928,0.834061,0.209723,1.267559,-0.013935,0.090437,0.073258,0.214651,-0.018635,0.822599,0.926138,,,,,,,,
1265939166220584679!,system_12,24.483092,1.285609,,0.187184,0.635901,-0.014438,0.550374,1.267793,0.207576,1.002614,-0.122196,0.084165,-0.024055,0.213829,0.020901,0.637885,0.518191,,,,,,,,
1265939166220584679!,system_12,31.114318,1.327352,,0.203085,0.624803,-0.012888,0.490165,1.027546,0.230018,1.089534,0.029483,0.120288,-0.084644,0.072361,0.119313,0.656308,0.551348,,,,,,,,
1265939166220584679!,system_12,39.471125,1.343362,,0.162513,0.664774,-0.013750,0.543188,1.236254,0.235684,1.318061,-0.012205,0.075939,0.050088,0.076001,-0.033326,0.571577,0.526752,,,,,,,,
1265939166220584679!,system_12,50.002546,1.327799,,0.096439,0.586205,-0.041580,0.548854,0.840283,-0.016025,1.361411,0.000097,0.090081,0.163550,-0.033453,-0.003808,0.656859,0.208895,,,,,,,,
1265939166220584679!,system_12,63.274460,1.020248,,0.165500,0.650766,-0.055825,0.553548,0.921573,-0.059038,0.906938,-0.001294,0.120133,0.011264,0.108806,0.101305,0.677469,0.140234,,,,,,,,
1265939166220584679!,system_12,80.000000,0.789350,,0.083962,0.597406,-0.051355,0.539872,1.161575,-0.146858,1.385155,-0.240839,0.175058,0.031681,0.033748,0.080871,0.376864,0.189078,,,,,,,,
