ID,System,t,Y,target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,U1,U2,U3,U4,U5,U6,U7,U8
689653482985980341!,system_12,0.000000,0.000558,,0.609001,0.524879,0.000280,0.874099,0.442458,0.502860,0.142618,0.764621,0.014682,0.788122,0.699354,0.545140,0.000000,0.000000,1.198879,0.742191,-0.248350,0.346388,2.267921,3.227832,2.211663,0.170731
689653482985980341!,system_12,0.260221,0.212022,,1.255421,0.984120,0.414863,1.127674,0.430807,0.590714,0.220999,1.152483,0.148301,0.926349,0.766205,0.710712,0.308280,0.041911,1.198879,0.742191,-0.248350,0.346388,2.267921,3.227832,2.211663,0.170731
689653482985980341!,system_12,0.588156,0.236720,,1.418259,1.118012,1.011095,1.335652,0.621760,0.652251,0.252171,1.305116,0.560239,0.835724,0.695550,0.446817,-0.095121,0.014592,1.198879,0.742191,-0.248350,0.346388,2.267921,3.227832,2.211663,0.170731
689653482985980341!,system_12,1.001427,0.405983,,1.832084,1.497369,1.394307,1.323673,0.691914,0.853459,0.396344,1.829618,0.686913,0.773496,0.706170,0.630279,-0.103375,0.071416,,,,,,,,
689653482985980341!,system_12,1.522239,0.331447,,1.396846,1.333574,1.133378,1.075641,0.581358,0.766443,0.285809,1.905578,1.191910,1.157295,0.594462,0.731716,0.029128,0.028166,,,,,,,,
689653482985980341!,system_12,2.178578,0.590164,,1.090166,0.986775,0.968594,1.001503,0.575766,0.677592,0.186665,1.638217,1.069511,1.065254,0.719389,0.739523,0.154657,0.215582,,,,,,,,
689653482985980341!,system_12,3.005710,0.546783,,0.978874,0.469720,0.597559,0.854278,0.620490,0.521251,0.225597,1.705807,1.077862,1.110546,0.621668,0.636222,0.113874,0.229191,,,,,,,,
689653482985980341!,system_12,4.048078,0.704522,,0.713808,0.403864,0.602857,0.292064,0.380971,0.626257,0.103961,1.577954,0.916882,1.015743,0.482819,0.564473,0.476860,0.344470,,,,,,,,
689653482985980341!,system_12,5.361692,0.547430,,0.615332,0.197369,0.391178,0.315073,0.383629,0.526626,0.085095,1.526700,1.283082,0.811416,0.430340,0.459610,0.629410,0.465719,,,,,,,,
689653482985980341!,system_12,7.017135,0.687135,,0.628729,0.213202,0.303737,0.278746,0.487184,0.486985,-0.004420,1.490626,0.736734,0.528305,0.270211,0.251750,0.835814,0.487980,,,,,,,,
689653482985980341!,system_12,9.103359,0.752721,,0.671308,0.600144,0.418516,0.301021,0.267012,0.520556,0.013358,1.528998,0.495883,0.545214,0.296505,0.365014,1.076379,0.641525,,,,,,,,
689653482985980341!,system_12,11.732462,0.770043,,0.617469,0.510405,0.347432,0.258055,0.336504,0.558633,0.015170,1.547396,0.311797,0.276468,0.186050,0.061466,1.091867,0.509108,,,,,,,,
689653482985980341!,system_12,15.045711,0.539267,,0.619346,0.486199,0.290320,-0.142047,0.216488,0.364896,-0.038435,1.493832,0.355892,0.120190,0.062921,0.194363,1.216279,0.674842,,,,,,,,
689653482985980341!,system_12,19.221135,0.605981,,0.567873,0.433026,0.307151,-0.182017,0.237892,0.508772,-0.028278,1.498165,0.526660,0.147847,0.154731,0.094020,1.436976,0.629550,,,,,,,,
689653482985980341!,system_12,24.483092,0.354654,,0.595271,0.329955,0.050927,0.005589,0.239097,0.495819,0.053324,1.392242,0.469261,0.175735,0.161102,0.098352,1.255874,0.369743,,,,,,,,
689653482985980341!,system_12,31.114318,0.250490,,0.520144,0.289786,0.227590,-0.019172,0.320101,0.405706,-0.039419,1.416244,0.667416,-0.021403,0.195866,-0.017252,1.455797,0.278704,,,,,,,,
689653482985980341!,system_12,39.471125,0.242867,,0.555311,0.296786,0.097823,0.309744,0.146712,0.554858,0.003023,1.527084,0.655762,-0.009294,0.117001,0.050992,1.290208,0.291219,,,,,,,,
689653482985980341!,system_12,50.002546,-0.005544,,0.385592,0.423886,0.171719,0.055217,0.108729,0.462960,-0.084282,1.441779,0.857995,0.003120,0.159328,0.052723,0.844215,-0.005209,,,,,,,,
689653482985980341!,system_12,63.274460,0.117083,,0.533045,0.194740,0.032101,-0.114109,0.089545,0.334624,0.073801,1.495584,1.335869,-0.077337,-0.029000,-0.060221,0.685508,0.091622,,,,,,,,
689653482985980341!,system_12,80.000000,0.112442,,0.436762,0.288767,0.088928,-0.079196,0.018937,0.154146,0.005040,1.340506,1.665936,-0.070282,0.128337,-0.007374,0.285713,0.038802,,,,,,,,
