ID,System,t,Y,target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,U1,U2,U3,U4,U5,U6,U7,U8
462154835268415419!,system_03,0.000000,0.232269,,0.580953,0.736519,0.540004,0.473718,0.657083,0.613790,0.302399,0.182117,1.000000,0.000000,0.342165,0.545306,0.000000,0.000000,0.198525,1.152245,1.229727,0.630607,-0.675466,-1.577615,-0.408092,-0.668612
462154835268415419!,system_03,0.260221,0.115854,,0.623621,0.958955,0.544784,0.660308,1.012202,0.867413,0.468127,0.214208,0.991672,-0.032616,0.341276,0.623575,0.027740,-0.017242,0.198525,1.152245,1.229727,0.630607,-0.675466,-1.577615,-0.408092,-0.668612
462154835268415419!,system_03,0.588156,0.112593,,0.607778,1.067061,0.467953,1.097027,1.233986,0.897000,1.013653,0.318656,1.034978,0.007156,0.251254,0.566510,0.039481,0.015104,0.198525,1.152245,1.229727,0.630607,-0.675466,-1.577615,-0.408092,-0.668612
462154835268415419!,system_03,1.001427,0.200190,,0.506162,1.367472,0.649679,1.472625,1.629143,0.976932,1.390719,0.385673,1.083493,0.057753,0.480514,0.516584,0.088003,0.024855,,,,,,,,
462154835268415419!,system_03,1.522239,0.250285,,0.511250,1.398929,0.496931,1.468247,1.502696,0.982147,1.297038,0.337521,1.063045,0.136497,0.487632,0.645123,0.161798,0.041750,,,,,,,,
462154835268415419!,system_03,2.178578,0.316287,,0.414212,1.434804,0.375444,1.275098,1.531556,0.902082,1.174929,0.354080,1.073034,0.154934,0.471431,0.705367,0.084749,0.005250,,,,,,,,
462154835268415419!,system_03,3.005710,0.250480,,0.365328,1.246960,0.460539,1.299919,1.469209,0.793096,1.219617,0.266819,1.106002,0.146981,0.467820,0.546939,0.041305,0.057836,,,,,,,,
462154835268415419!,system_03,4.048078,0.233704,,0.426886,1.297104,0.304212,1.179704,1.262312,0.597904,1.330285,0.246962,1.019567,0.184715,0.590552,0.662694,0.190603,0.079945,,,,,,,,
462154835268415419!,system_03,5.361692,0.332848,,0.322761,1.183342,0.416607,1.126703,1.121658,0.512644,1.139783,0.189615,1.171235,0.185932,0.655365,0.657675,0.146458,0.089812,,,,,,,,
462154835268415419!,system_03,7.017135,0.417228,,0.267570,1.200964,0.282572,0.979398,1.158116,0.370993,1.245875,0.171081,1.151067,0.217668,0.662305,0.627802,0.073644,0.120789,,,,,,,,
462154835268415419!,system_03,9.103359,0.377412,,0.226370,1.139515,0.210022,1.008506,1.106977,0.273287,1.162775,0.121008,1.056307,0.285837,0.559458,0.584083,0.261963,0.156037,,,,,,,,
462154835268415419!,system_03,11.732462,0.422246,,0.134465,1.163181,0.276212,1.081515,1.183576,0.439587,1.079201,0.059308,1.143833,0.217625,0.499713,0.755302,0.196848,0.230338,,,,,,,,
462154835268415419!,system_03,15.045711,0.383137,,0.155086,1.048311,0.190288,0.983305,1.044029,0.308155,1.044332,0.099754,0.970105,0.193222,0.399635,0.503447,0.391974,0.219485,,,,,,,,
462154835268415419!,system_03,19.221135,0.425476,,0.245527,1.081431,0.064458,0.990639,0.868127,0.144349,0.836300,-0.042039,0.822610,0.134976,0.328862,0.541622,0.533824,0.303356,,,,,,,,
462154835268415419!,system_03,24.483092,0.391036,,0.275939,1.087563,0.006357,0.864580,0.902632,0.247759,0.990370,0.024591,0.800102,0.174143,0.500415,0.315564,0.588817,0.270185,,,,,,,,
462154835268415419!,system_03,31.114318,0.336742,,0.090396,1.089835,0.026852,0.825667,0.908385,0.028056,1.068456,0.055940,0.770747,0.112419,0.252756,0.344381,0.652942,0.313900,,,,,,,,
462154835268415419!,system_03,39.471125,0.257568,,0.185786,1.126797,0.020619,0.856890,0.761683,0.024972,0.969191,0.001369,0.765945,0.083293,0.117816,0.235131,0.514080,0.292484,,,,,,,,
462154835268415419!,system_03,50.002546,0.196070,,0.252789,1.180820,-0.016745,0.819472,0.958215,0.028614,1.096602,-0.038790,0.933123,-0.004550,0.059454,0.216345,0.513789,0.180506,,,,,,,,
462154835268415419!,system_03,63.274460,0.161791,,0.116809,1.063756,0.033193,0.802645,0.730942,0.013596,0.848053,0.045553,0.971882,-0.038458,0.090951,0.306198,0.355640,0.129736,,,,,,,,
462154835268415419!,system_03,80.000000,0.017916,,0.207895,1.096098,0.015005,0.772125,0.658928,0.076080,0.899190,0.042445,1.151525,0.002659,0.053224,0.158885,0.315154,0.041029,,,,,,,,
